,Title,Release year,Genres,IMDB rating,Runtime,Age rating,Production country,Streaming service,Type,Movie link
168,Mayor of Kingstown,(2021),"Drama, Crime, Mystery & Thriller",8.2 (52k),47min,,United States,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/challengers
169,Jujutsu Kaisen,(2020),"Action & Adventure, Fantasy, Mystery & Thriller, Animation, Science-Fiction",8.6 (125k),24min,,"Japan, United States","('Netflix', 'Amazon Prime Video', 'Crunchyroll', 'Crunchyroll Amazon Channel', 'Anime Times Amazon Channel')",tv show,https://www.justwatch.com/in/movie/hereditary
170,The Walking Dead,(2010),"Action & Adventure, Drama, Science-Fiction, Horror, Mystery & Thriller",8.1 (1m),46min,U,United States,"('Netflix', 'Amazon Prime Video')",tv show,https://www.justwatch.com/in/movie/savi-a-bloody-housewife
171,Master of the House,(2024),"Mystery & Thriller, Drama",6.3 (605),51min,,Thailand,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/longlegs
172,The Mole,(2022),Reality TV,7.6 (4.5k),45min,,United States,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/babylon-2022
173,Vikings,(2013),"Action & Adventure, Drama, War & Military, History, Romance, Made in Europe",8.5 (592k),45min,U,Canada,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/ghostbusters-frozen-empire
174,Vikings: Valhalla,(2022),"Drama, History, Romance, War & Military, Action & Adventure",7.3 (61k),49min,,United States,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/siddharth-roy
175,Euphoria,(2019),Drama,8.3 (250k),58min,A,United States,"('Jio Cinema',)",tv show,https://www.justwatch.com/in/movie/a-quiet-place
176,From,(2022),"Horror, Science-Fiction, Mystery & Thriller, Drama",7.7 (78k),50min,,United States,,tv show,https://www.justwatch.com/in/movie/sam-bahadur
177,Sunflower,(2021),"Crime, Comedy",7.4 (24k),38min,A,India,"('Zee5', 'VI movies and tv')",tv show,https://www.justwatch.com/in/movie/deadpool-2
178,You,(2018),"Drama, Romance, Mystery & Thriller, Crime",7.7 (306k),48min,A,United States,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/love-lies-bleeding-2024
